Rank,Title,Year,Rating,Genre,Director,URL
178,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Dark Fantasy, Fantasy Epic, Teen Adventure",David Yates,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_178
179,Gran Torino,2008,8.1,Drama,Clint Eastwood,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_179
180,Million Dollar Baby,2004,8.1,"Boxing, Tragedy, Drama",Clint Eastwood,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_180
181,My Neighbor Totoro,1988,8.1,"Anime, Hand-Drawn Animation, Iyashikei",Hayao Miyazaki,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_181
182,Mad Max: Fury Road,2015,8.1,"Action Epic, Adventure Epic, Car Action",George Miller,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_182
183,Ben-Hur,1959,8.1,"Adventure Epic, Epic, Period Drama",William Wyler,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_183
184,Spider-Man: No Way Home,2021,8.2,"Superhero, Supernatural Fantasy, Urban Adventure",Jon Watts,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_184
185,Barry Lyndon,1975,8.1,"Costume Drama, Dark Comedy, Epic",Stanley Kubrick,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_185
186,Children of Heaven,1997,8.2,"Drama, Family, Sport",Majid Majidi,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_186
187,Dead Poets Society,1989,8.1,"Coming-of-Age, Teen Drama, Comedy",Peter Weir,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_187
188,12 Years a Slave,2013,8.1,"Costume Drama, Docudrama, Epic",Steve McQueen,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_188
189,Before Sunrise,1995,8.1,"Comedy, Drama, Romance",Richard Linklater,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_189
190,The Grand Budapest Hotel,2014,8.1,"Quirky Comedy, Comedy, Drama",Wes Anderson,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_190
191,Blade Runner,1982,8.1,"Artificial Intelligence, Cyber Thriller, Cyberpunk",Ridley Scott,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_191
192,Hacksaw Ridge,2016,8.1,"Docudrama, Epic, Period Drama",Mel Gibson,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_192
193,Gone Girl,2014,8.1,"Erotic Thriller, Psychological Drama, Psychological Thriller",David Fincher,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_193
194,Memories of Murder,2003,8.1,"Dark Comedy, Korean Drama, Police Procedural",Bong Joon Ho,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_194
195,Ratatouille,2007,8.1,"Animal Adventure, Computer Animation, Satire",Brad Bird,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_195
196,"Monsters, Inc.",2001,8.1,"Buddy Comedy, Computer Animation, Satire",Pete Docter,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_196
197,In the Name of the Father,1993,8.1,"Docudrama, Legal Drama, Period Drama",Jim Sheridan,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_197
198,The Gold Rush,1925,8.1,"Farce, Feel-Good Romance, Romantic Comedy",Charles Chaplin,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_198
199,How to Train Your Dragon,2010,8.1,"Computer Animation, Sword & Sorcery, Teen Fantasy",Dean DeBlois,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_199
200,Wild Tales,2014,8.1,"Dark Comedy, Comedy, Drama",Damián Szifron,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_200
201,Jaws,1975,8.1,"Monster Horror, Sea Adventure, Survival",Steven Spielberg,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_201
202,Sherlock Jr.,1924,8.2,"Bumbling Detective, Farce, Feel-Good Romance",Buster Keaton,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_202
203,Mary and Max,2009,8.1,"Adult Animation, Coming-of-Age, Dark Comedy",Adam Elliot,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_203
204,The Deer Hunter,1978,8.1,"Epic, War Epic, Drama",Michael Cimino,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_204
205,Ford v Ferrari,2019,8.1,"Docudrama, Motorsport, Period Drama",James Mangold,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_205
206,The General,1926,8.1,"Farce, Slapstick, Action",Clyde Bruckman,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_206
207,The Wages of Fear,1953,8.1,"Psychological Drama, Survival, Adventure",Henri-Georges Clouzot,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_207
208,On the Waterfront,1954,8.1,"Legal Drama, Legal Thriller, Crime",Elia Kazan,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_208
209,Mr Smith Goes to Washington,1939,8.1,"Political Drama, Comedy, Drama",Frank Capra,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_209
210,I'm Still Here,2024,8.3,"Docudrama, Period Drama, Political Drama",Walter Salles,https://www.imdb.com/title/tt14961016/?ref_=chttp_i_210
211,Wild Strawberries,1957,8.1,"Psychological Drama, Drama, Romance",Ingmar Bergman,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_211
212,Logan,2017,8.1,"Dystopian Sci-Fi, Road Trip, Superhero",James Mangold,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_212
213,Rocky,1976,8.1,"Boxing, Drama, Sport",John G. Avildsen,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_213
214,The Third Man,1949,8.1,"Film Noir, Hard-boiled Detective, Whodunnit",Carol Reed,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_214
215,Tokyo Story,1953,8.1,"Psychological Drama, Drama",Yasujirô Ozu,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_215
216,Spotlight,2015,8.1,"Docudrama, Legal Drama, Period Drama",Tom McCarthy,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_216
217,The Big Lebowski,1998,8.1,"Buddy Comedy, Drug Crime, Satire",Joel Coen,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_217
218,Maharaja,2024,8.4,"One-Person Army Action, Action, Crime",Nithilan Saminathan,https://www.imdb.com/title/tt26548265/?ref_=chttp_i_218
219,The Terminator,1984,8.1,"Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi",James Cameron,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_219
220,The Seventh Seal,1957,8.1,"Psychological Drama, Drama, Fantasy",Ingmar Bergman,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_220
221,Room,2015,8.1,"Psychological Drama, Drama, Thriller",Lenny Abrahamson,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_221
222,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Sea Adventure, Supernatural Fantasy, Swashbuckler",Gore Verbinski,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_222
223,La haine,1995,8.1,"Gangster, Psychological Drama, Crime",Mathieu Kassovitz,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_223
224,Jai Bhim,2021,8.7,"Legal Drama, Crime, Drama",T.J. Gnanavel,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_224
225,Hotel Rwanda,2004,8.1,"Docudrama, Epic, Biography",Terry George,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_225
226,Platoon,1986,8.1,"Drama, War",Oliver Stone,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_226
227,The Best Years of Our Lives,1946,8.1,"Epic, Feel-Good Romance, Drama",William Wyler,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_227
228,Before Sunset,2004,8.1,"Feel-Good Romance, Drama, Romance",Richard Linklater,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_228
230,The Passion of Joan of Arc,1928,8.1,"Legal Drama, Period Drama, Psychological Drama",Carl Theodor Dreyer,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_230
231,The Wizard of Oz,1939,8.1,"Adventure Epic, Classic Musical, Fairy Tale",Victor Fleming,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_231
232,The Sound of Music,1965,8.1,"Classic Musical, Epic, Period Drama",Robert Wise,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_232
233,The Incredibles,2004,8.0,"Computer Animation, Superhero, Urban Adventure",Brad Bird,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_233
234,Hachi: A Dog's Tale,2009,8.1,"Animal Adventure, Biography, Drama",Lasse Hallström,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_234
235,Rush,2013,8.1,"Docudrama, Motorsport, Period Drama",Ron Howard,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_235
236,Stand by Me,1986,8.1,"Coming-of-Age, Dark Comedy, Quest",Rob Reiner,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_236
237,My Father and My Son,2005,8.2,"Coming-of-Age, Political Drama, Drama",Çagan Irmak,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_237
238,Network,1976,8.1,"Dark Comedy, Workplace Drama, Drama",Sidney Lumet,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_238
239,The Iron Giant,1999,8.1,"Alien Invasion, Artificial Intelligence, Hand-Drawn Animation",Brad Bird,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_239
240,The Handmaiden,2016,8.1,"Dark Romance, Erotic Thriller, Psychological Thriller",Park Chan-wook,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_240
241,To Be or Not to Be,1942,8.1,"Screwball Comedy, Comedy, Romance",Ernst Lubitsch,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_241
242,The Battle of Algiers,1966,8.1,"Docudrama, Political Drama, Drama",Gillo Pontecorvo,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_242
243,A Silent Voice: The Movie,2016,8.1,"Anime, Coming-of-Age, Psychological Drama",Naoko Yamada,https://www.imdb.com/title/tt5323662/?ref_=chttp_i_243
244,The Grapes of Wrath,1940,8.1,"Period Drama, Tragedy, Drama",John Ford,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_244
245,Into the Wild,2007,8.0,"Coming-of-Age, Docudrama, Road Trip",Sean Penn,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_245
246,Groundhog Day,1993,8.0,"Feel-Good Romance, High-Concept Comedy, Holiday Comedy",Harold Ramis,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_246
247,The Help,2011,8.1,"Period Drama, Drama",Tate Taylor,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_247
248,Amores Perros,2000,8.0,"Tragedy, Drama, Thriller",Alejandro G. Iñárritu,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_248
249,Rebecca,1940,8.1,"Dark Romance, Psychological Drama, Psychological Thriller",Alfred Hitchcock,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_249
250,Gangs of Wasseypur,2012,8.2,"Gangster, Satire, True Crime",Anurag Kashyap,https://www.imdb.com/title/tt1954470/?ref_=chttp_i_250
