Rank,Title,Year,Rating,Genre,Director,URL
41,American History X,1998,8.5,"Prison Drama, Tragedy, Crime",Tony Kaye,https://www.imdb.com/title/tt0120586/?ref_=chttp_i_41
42,The Prestige,2006,8.5,"Period Drama, Steampunk, Tragedy",Christopher Nolan,https://www.imdb.com/title/tt0482571/?ref_=chttp_i_42
43,Léon: The Professional,1994,8.5,"Gangster, One-Person Army Action, Action",Luc Besson,https://www.imdb.com/title/tt0110413/?ref_=chttp_i_43
44,Spider-Man: Across the Spider-Verse,2023,8.5,"Computer Animation, Superhero, Supernatural Fantasy",Joaquim Dos Santos,https://www.imdb.com/title/tt9362722/?ref_=chttp_i_44
45,Casablanca,1942,8.5,"Period Drama, Psychological Drama, Drama",Michael Curtiz,https://www.imdb.com/title/tt0034583/?ref_=chttp_i_45
46,The Usual Suspects,1995,8.5,"Caper, Gangster, Heist",Bryan Singer,https://www.imdb.com/title/tt0114814/?ref_=chttp_i_46
47,The Intouchables,2011,8.5,"Docudrama, Comedy, Drama",Olivier Nakache,https://www.imdb.com/title/tt1675434/?ref_=chttp_i_47
48,Cinema Paradiso,1988,8.5,"Coming-of-Age, Drama, Romance",Giuseppe Tornatore,https://www.imdb.com/title/tt0095765/?ref_=chttp_i_48
49,Modern Times,1936,8.5,"Romantic Comedy, Satire, Slapstick",Charles Chaplin,https://www.imdb.com/title/tt0027977/?ref_=chttp_i_49
50,Alien,1979,8.5,"Alien Invasion, Cyberpunk, Monster Horror",Ridley Scott,https://www.imdb.com/title/tt0078748/?ref_=chttp_i_50
51,Rear Window,1954,8.5,"Psychological Thriller, Suspense Mystery, Drama",Alfred Hitchcock,https://www.imdb.com/title/tt0047396/?ref_=chttp_i_51
52,Once Upon a Time in the West,1968,8.5,"Desert Adventure, Epic, Spaghetti Western",Sergio Leone,https://www.imdb.com/title/tt0064116/?ref_=chttp_i_52
53,Django Unchained,2012,8.5,"Dark Comedy, Epic, One-Person Army Action",Quentin Tarantino,https://www.imdb.com/title/tt1853728/?ref_=chttp_i_53
54,City Lights,1931,8.5,"Feel-Good Romance, Romantic Comedy, Satire",Charles Chaplin,https://www.imdb.com/title/tt0021749/?ref_=chttp_i_54
55,Apocalypse Now,1979,8.4,"Adventure Epic, Epic, Hard-boiled Detective",Francis Ford Coppola,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_55
56,Dune: Part Two,2024,8.5,"Action Epic, Desert Adventure, Epic",Denis Villeneuve,https://www.imdb.com/title/tt15239678/?ref_=chttp_i_56
57,Memento,2000,8.4,"Psychological Thriller, Suspense Mystery, Mystery",Christopher Nolan,https://www.imdb.com/title/tt0209144/?ref_=chttp_i_57
58,WALL·E,2008,8.4,"Adventure Epic, Artificial Intelligence, Computer Animation",Andrew Stanton,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_58
59,Raiders of the Lost Ark,1981,8.4,"Adventure Epic, Desert Adventure, Globetrotting Adventure",Steven Spielberg,https://www.imdb.com/title/tt0082971/?ref_=chttp_i_59
60,The Lives of Others,2006,8.4,"Political Thriller, Psychological Drama, Spy",Florian Henckel von Donnersmarck,https://www.imdb.com/title/tt0405094/?ref_=chttp_i_60
61,Avengers: Infinity War,2018,8.4,"Space Sci-Fi, Superhero, Action",Anthony Russo,https://www.imdb.com/title/tt4154756/?ref_=chttp_i_61
62,Sunset Boulevard,1950,8.4,"Dark Comedy, Film Noir, Psychological Drama",Billy Wilder,https://www.imdb.com/title/tt0043014/?ref_=chttp_i_62
63,Spider-Man: Into the Spider-Verse,2018,8.4,"Computer Animation, Superhero, Supernatural Fantasy",Bob Persichetti,https://www.imdb.com/title/tt4633694/?ref_=chttp_i_63
64,Paths of Glory,1957,8.4,"Epic, Psychological Drama, War Epic",Stanley Kubrick,https://www.imdb.com/title/tt0050825/?ref_=chttp_i_64
